ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK
1043212869,"CIVIC 2021/2021 EXL 2.0, ÚNICO DONO, 3 MIL KM, IMPECÁVEL !!!",35.222 km  |  Câmbio: Manual  |  Flex  |  ,R$ 74.900,Manaus -  AM,"Hoje, 11:32",https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/vw-polo-mca-1-0-3cc-flex-2021-completo-1043212869
1043710906,Vectra Gt 2.0 Manual 2010 - Entrada + 899 * Top,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.900,Taubaté -  SP,"Hoje, 11:32",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiesta-se-1-0-completo-2014-periciado-aprovado-pego-moto-e-carro-na-troca-1043710906
1048735971,"Ford Fiesta 2006 Sedan 1.6 Completo , Financio, Aceito troca",200.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 20.958,Guaraniaçu -  PR,"Hoje, 11:32",https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1048735971
1043079307,Saveiro Cs 1.6,67.776 km  |  Câmbio: Manual  |  Flex  |  ,R$ 47.900,Manaus -  AM,"Hoje, 11:32",https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-2019-1043079307
1040660583,Ka Se 1.0 2016/2017,39.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.900,Mogi Mirim -  SP,"Hoje, 11:32",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-1040660583
1048735944,Fiat Palio Elx Dualogic 2010,71.000 km  |  Câmbio: Manual  |  ,R$ 58.900,Belém -  PA,"Hoje, 11:32",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/fit-lx-2015-1048735944
1048735947,"Vendo Ka Trail 1.5,completo,sò com 23 mil km rodados",50.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 93.900,Belo Horizonte -  MG,"Hoje, 11:32",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-storm-top-ipva-22-1048735947
1048735932,Hb20 comfort 1.0 2015 ,135.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.900,Curitiba -  PR,"Hoje, 11:31",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/ecosport-freestyle-2012-1048735932
1048735918,Peugeot 308 Active Branco 2013,3.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 147.900,Aracaju -  SE,"Hoje, 11:31",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/civic-2021-2021-exl-2-0-unico-dono-3-mil-km-impecavel-1048735918
1038138056,Sandero Life10 Mt 2020,129.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 35.900,Curitiba -  PR,"Hoje, 11:31",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/vectra-gt-2-0-manual-2010-entrada-899-top-1038138056
1048735905,FIAT UNO VIVACE 1.0 2015,129.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 22.900,Brasília -  DF,"Hoje, 11:31",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-2006-sedan-1-6-completo-financio-aceito-troca-1048735905
